type;perturbation;premise;label;hypothesis
undone_action;;I kept the frog in a jar, but I thought it was going to die.;contradiction;The frog is kept in a jar now.
undone_action;and;I kept the frog in a jar, and I thought it was going to die.;neutral;The frog is kept in a jar now.
undone_action;negation;I kept the frog in a jar, but I thought it was going to die.;entailment;The frog is not kept in a jar now.
undone_action;temporal;I thought the frog was going to die, but I kept it in a jar.;entailment;The frog is kept in a jar now.
undone_action;;We built a castle, but the waves came up.;contradiction;The sand castle is still on the beach.
undone_action;and;We built a castle, and the waves came up.;neutral;The sand castle is still on the beach.
undone_action;negation;We built a castle, but the waves came up.;entailment;The sand castle is not on the beach.
undone_action;temporal;The waves came up, but we built a castle.;entailment;The sand castle is still on the beach.
undone_action;;I bought a new hammer, but I didn’t need it. ;contradiction;I have the hammer now.
undone_action;and;I bought a new hammer, and I didn’t need it. ;entailment;I have the hammer now.
undone_action;negation;I bought a new hammer, but I didn’t need it. ;entailment;I don't have the hammer now.
undone_action;temporal;I didn’t need it, but I bought a new hammer. ;entailment;I have the hammer now.
undone_action;;She quickly gained popularity, but a rumor started to spread.;contradiction;She remains popular.
undone_action;and;She quickly gained popularity, and a rumor started to spread.;neutral;She remains popular.
undone_action;negation;She quickly gained popularity, but a rumor started to spread.;entailment;She does not remain popular.
undone_action;temporal;A rumor started to spread, but she quickly gained popularity.;entailment;She remains popular.
undone_action;;I queued for a coffee, but the queue was so long.;contradiction;I stayed in the queue for coffee.
undone_action;and;I queued for a coffee, and the queue was so long.;entailment;I stayed in the queue for coffee.
undone_action;negation;I queued for a coffee, but the queue was so long.;entailment;I did not stay in the queue for coffee.
undone_action;temporal;The queue was so long, but I queued for a coffee.;entailment;I stayed in the queue for coffee.
undone_action;;Mark joined the team, but his knee was severely injured.;contradiction;Mark is currently on the team.
undone_action;and;Mark joined the team, and his knee was severely injured.;neutral;Mark is currently on the team.
undone_action;negation;Mark joined the team, but his knee was severely injured.;entailment;Mark is no longer on the team.
undone_action;temporal;His knee was severely injured, but Mark joined the team.;entailment;Mark is currently on the team.
undone_action;;I was enrolled in a private school, but I broke several school rules.;contradiction;I kept studying in this private school.
undone_action;and;I was enrolled in a private school, and I broke several school rules.;entailment;I kept studying in this private school.
undone_action;negation;I was enrolled in a private school, but I broke several school rules.;entailment;I did not keep studying in this private school.
undone_action;temporal;I broke several school rules, but I was enrolled in a private school.;entailment;I kept studying in this private school.
undone_action;;She told me to stay there in my room, but she left.;contradiction;I stayed there in my room.
undone_action;and;She told me to stay there in my room, and she left.;entailment;I stayed there in my room.
undone_action;negation;She told me to stay there in my room, but she left.;entailment;I did not stay there in my room.
undone_action;temporal;She left, but she hold me to stay there in my room.;entailment;I stayed there in my room.
undone_action;;I became a lawyer, but the work got tedious. ;contradiction;I am still a lawyer.
undone_action;and;I became a lawyer, and the work got tedious. ;neutral;I am still a lawyer.
undone_action;negation;I became a lawyer, but the work got tedious. ;entailment;I am no longer a lawyer.
undone_action;temporal;The work got tedious, but I became a lawyer.;entailment;I am still a lawyer.
undone_action;sentiment;I became a lawyer, but the work got interesting. ;entailment;I am still a lawyer.
undone_action;;I started this diet, but I felt terrible.;contradiction;I am still doing this diet now.
