type;perturbation;premise;label;hypothesis;prediction
undone_action;;I kept the frog in a jar, but I thought it was going to die.;contradiction;The frog continued to be kept in a jar.;neutral
undone_action;and;I kept the frog in a jar, and I thought it was going to die.;neutral;The frog continued to be kept in a jar.;contradiction
undone_action;negation;I kept the frog in a jar, but I thought it was going to die.;entailment;The frog did not continue to be kept in a jar.;neutral
undone_action;temporal;I thought the frog was going to die, but I kept it in a jar.;entailment;The frog continued to be kept in a jar.;neutral
undone_action;;We were building a sand castle, but the waves came up.;contradiction;We continued building the sand castle.;neutral
undone_action;and;We were building a sand castle, and the waves came up.;neutral;We continued building the sand castle.;neutral
undone_action;negation;We were building a sand castle, but the waves came up.;entailment;We did not continue building the sand castle.;neutral
undone_action;temporal;The waves came up, but we were building a sand castle.;entailment;We continued building the sand castle.;entailment
undone_action;;I bought a new couch, but it barely fit in my living room. ;contradiction;I kept the couch.;contradiction
undone_action;and;I bought a new couch, and it barely fit in my living room. ;neutral;I kept the couch.;contradiction
undone_action;negation;I bought a new couch, but it barely fit in my living room. ;entailment;I did not keep the couch.;contradiction
undone_action;temporal;It barely fit in my living room, but I bought a new couch.;entailment;I kept the couch.;contradiction
undone_action;;She quickly gained popularity, but a rumor started to spread.;contradiction;She remained popular.;contradiction
undone_action;and;She quickly gained popularity, and a rumor started to spread.;neutral;She remained popular.;neutral
undone_action;negation;She quickly gained popularity, but a rumor started to spread.;entailment;She did not remain popular.;entailment
undone_action;temporal;A rumor started to spread, but she quickly gained popularity.;entailment;She remained popular.;entailment
undone_action;;I queued for a coffee, but the queue was so long.;contradiction;I stayed in the queue for coffee.;neutral
undone_action;and;I queued for a coffee, and the queue was so long.;entailment;I stayed in the queue for coffee.;neutral
undone_action;negation;I queued for a coffee, but the queue was so long.;entailment;I did not stay in the queue for coffee.;contradiction
undone_action;temporal;The queue was so long, but I queued for a coffee.;entailment;I stayed in the queue for coffee.;entailment
undone_action;;Mark joined the team, but his knee was permanently damaged.;contradiction;Mark remained on the team.;contradiction
undone_action;and;Mark joined the team, and his knee was permanently damaged.;neutral;Mark remained on the team.;contradiction
undone_action;negation;Mark joined the team, but his knee was permanently damaged.;entailment;Mark did not remain on the team.;neutral
undone_action;temporal;His knee was permanently damaged, but Mark joined the team.;entailment;Mark remained on the team.;neutral
undone_action;;I was enrolled in a private school, but I broke several school rules.;contradiction;I kept studying in this private school.;neutral
undone_action;and;I was enrolled in a private school, and I broke several school rules.;entailment;I kept studying in this private school.;neutral
undone_action;negation;I was enrolled in a private school, but I broke several school rules.;entailment;I did not keep studying in this private school.;neutral
undone_action;temporal;I broke several school rules, but I was enrolled in a private school.;entailment;I kept studying in this private school.;entailment
undone_action;;I was focusing on the exam, but the teacher wasn’t looking.;contradiction;I kept focusing on the exam.;entailment
undone_action;and;I was focusing on the exam, and the teacher wasn’t looking.;entailment;I kept focusing on the exam.;entailment
undone_action;negation;I was focusing on the exam, but the teacher wasn’t looking.;entailment;I did not keep focusing on the exam.;contradiction
undone_action;temporal;The teacher wasn’t looking, but I was focusing on the exam.;entailment;I kept focusing on the exam.;entailment
undone_action;;I became a lawyer, but the work was tedious. ;contradiction;I continued to be a lawyer.;neutral
undone_action;and;I became a lawyer, and the work was tedious. ;neutral;I continued to be a lawyer.;neutral
undone_action;negation;I became a lawyer, but the work was tedious. ;entailment;I did not continue to be a lawyer.;neutral
undone_action;temporal;The work was tedious, but I became a lawyer.;entailment;I continued to be a lawyer.;neutral
undone_action;sentiment;I became a lawyer, but the work was interesting. ;entailment;I continued to be a lawyer.;neutral
undone_action;;I started this diet, but I felt terrible.;contradiction;I continued doing this diet.;neutral
undone_action;and;I started this diet, and I felt terrible.;neutral;I continued doing this diet.;neutral
undone_action;negation;I started this diet, but I felt terrible.;entailment;I did not continue doing this diet.;neutral
undone_action;temporal;I felt terrible, but I started this diet.;entailment;I continued doing this diet.;neutral
undone_action;sentiment;I started this diet, but I felt great.;neutral;I continued doing this diet.;neutral
undone_action;;I practiced car racing, but it was frustrating.;contradiction;I kept doing car racing.;neutral
undone_action;and;I practiced car racing, and it was frustrating.;neutral;I kept doing car racing.;neutral
undone_action;negation;I practiced car racing, but it was frustrating.;entailment;I did not keep doing car racing.;neutral
undone_action;temporal;It was frustrating, but I practiced car racing.;entailment;I kept doing car racing.;neutral
undone_action;sentiment;I practiced car racing, but it was fun.;entailment;I kept doing car racing.;neutral
undone_action;;He moved to Gotham last year, but he hated it there.;contradiction;He kept living in Gotham.;contradiction
undone_action;and;He moved to Gotham last year, and he hated it there.;entailment;He kept living in Gotham.;contradiction
undone_action;negation;He moved to Gotham last year, but he hated it there.;entailment;He did not keep living in Gotham.;neutral
undone_action;temporal;He hated it there, but he moved to Gotham.;entailment;He kept living in Gotham.;contradiction
undone_action;sentiment;He moved to Gotham last year, but he loved it there.;entailment;He kept living in Gotham.;contradiction
undone_action;;I clicked on a documentary but it was boring.;contradiction;I finished watching the whole documentary.;contradiction
undone_action;and;I clicked on a documentary and it was boring.;entailment;I finished watching the whole documentary.;contradiction
undone_action;negation;I clicked on a documentary but it was boring.;entailment;I did not finish watching the whole documentary.;neutral
undone_action;temporal;It was boring but I clicked on a documentary.;entailment;I finished watching the whole documentary.;contradiction
undone_action;sentiment;I clicked on a documentary but it was interesting.;entailment;I finished watching the whole documentary.;neutral
sentiment;;I became a lawyer, but the work was interesting. ;contradiction;I thought being a lawyer would be interesting.;neutral
sentiment;and;I became a lawyer, and the work was interesting. ;neutral;I thought being a lawyer would be interesting.;neutral
sentiment;negation;I became a lawyer, but the work was interesting. ;entailment;I did not think being a lawyer would be interesting.;contradiction
sentiment;reversed;I became a lawyer, but the work was tedious. ;neutral;I thought being a lawyer would be interesting.;neutral
sentiment;;I started this diet, but I felt great.;contradiction;This diet was supposed to make people feel great.;contradiction
sentiment;and;I started this diet, and I felt great.;neutral;This diet was supposed to make people feel great.;neutral
sentiment;negation;I started this diet, but I felt great.;entailment;This diet was not supposed to make people feel great.;contradiction
sentiment;reversed;I started this diet, but I felt terrible.;neutral;This diet was supposed to make people feel great.;neutral
sentiment;;I continued car racing, but it was fun.;contradiction;Car racing was expected to be fun.;neutral
sentiment;and;I continued car racing, and it was fun.;neutral;Car racing was expected to be fun.;neutral
sentiment;negation;I continued car racing, but it was fun.;entailment;Car racing was expected to be not fun.;contradiction
sentiment;reversed;I continued car racing, but it was frustrating.;entailment;Car racing was expected to be fun.;neutral
sentiment;;He moved to Gotham last year, but he loved it there.;contradiction;Gotham was a good place to live in.;neutral
sentiment;and;He moved to Gotham last year, and he loved it there.;neutral;Gotham was a good place to live in.;neutral
